"Seite","Bereich","Feld","Text"
"index","Ablauf","ending","Ich freue mich darauf, Sie auf Ihrem Weg zu begleiten."
"index","Ablauf","button","Jetzt Termin vereinbaren"
"index","FAQ","title","Häufige Fragen"
"index","FAQ","intro","Hier finden Sie Antworten auf Fragen, die mir häufig gestellt werden."
"index","FAQ_1","question","Wie läuft eine Beratung ab?"
"index","FAQ_1","answer","Nach einem ersten Kennenlernen besprechen wir Ihre Anliegen und Ziele. Gemeinsam entwickeln wir passende Lösungsansätze und arbeiten Schritt für Schritt an den Themen, die Ihnen wichtig sind."
"index","FAQ_2","question","Wie lange dauert eine Sitzung?"
"index","FAQ_2","answer","Eine Beratung dauert in der Regel etwa 60 Minuten. Die genaue Dauer kann je nach Anliegen individuell vereinbart werden."
"index","FAQ_3","question","Wo findet die Beratung statt?"
"index","FAQ_3","answer","Die Beratung findet persönlich in Wiesbaden oder bequem online statt – ganz so, wie es am besten zu Ihrer Situation passt."
"index","FAQ_4","question","Was kostet eine Beratung?"
"index","FAQ_4","answer","Alle Informationen zu den Kosten finden Sie auf der Seite „Kosten & Terminbuchung“. Gerne beantworte ich Ihre Fragen auch persönlich."
"index","FAQ_5","question","Werden meine Gespräche vertraulich behandelt?"
"index","FAQ_5","answer","Ja. Vertraulichkeit ist eine wichtige Grundlage meiner Arbeit. Alle Gespräche werden selbstverständlich vertraulich behandelt."
"index","FAQ_6","question","Wie kann ich einen Termin vereinbaren?"
"index","FAQ_6","answer","Sie können mich ganz einfach per E-Mail oder telefonisch kontaktieren oder über die Terminseite eine Anfrage stellen."
"index","FAQ_CTA","title","Ich freue mich darauf, Sie kennenzulernen."
"index","FAQ_CTA","text","Haben Sie noch Fragen oder möchten einen Termin vereinbaren? Ich freue mich auf Ihre Nachricht."
"index","FAQ_CTA","button","Termin vereinbaren"
